股票代码,市盈率-动态,归母净利润增长率
002345,12.09,1.7905000000000002
600161,26.41,1.7884999999999998
002771,-129.34,1.7865000000000002
603225,19.42,1.7845
002284,32.51,1.7830000000000001
300907,23.22,1.7815
688619,-14.17,1.78
688399,101.31,1.7779999999999998
688701,-15.08,1.7760000000000002
300933,55.04,1.7745000000000002
688193,230.11,1.7730000000000001
688670,-21.98,1.7720000000000002
603602,154.82,1.7710000000000001
688062,-7.01,1.77
601766,22.4,1.7685
002446,65.9,1.767
688786,41.66,1.7655
000766,493.57,1.764
300533,-9.21,1.7625
603291,32.84,1.7605
300022,-89.9,1.7585000000000002
600789,19.28,1.7570000000000001
002380,27.2,1.7555
688266,-137.63,1.7540000000000002
600720,15.41,1.7525
002828,54.44,1.751
002900,58.52,1.749
002315,32.16,1.7475
688155,20.6,1.7454999999999998
300668,162.76,1.7434999999999998
300893,27.33,1.7414999999999998
300519,43.13,1.7395
300537,74.15,1.7375
301363,37.98,1.735
300255,1745.44,1.733
605199,66.11,1.7309999999999999
688655,840.73,1.7285
600699,21.46,1.7260000000000002
003007,-64.12,1.7235
000009,45.08,1.7215
000065,10.36,1.7189999999999999
300560,189.1,1.7165
872374,100.66,1.714
301290,26.98,1.7109999999999999
003004,-57.68,1.7080000000000002
002870,27.27,1.705
300399,-480.25,1.7025
600152,4552.38,1.7
603195,22.1,1.698
600196,25.33,1.6960000000000002
600771,93.95,1.6940000000000002
300845,171.46,1.6919999999999997
600522,15.45,1.69
300329,-78.8,1.6885
300057,-111.84,1.6869999999999998
603216,47.35,1.685
688411,25.99,1.6829999999999998
600732,-5.92,1.6809999999999998
833533,73.25,1.6789999999999998
688100,32.67,1.677
002027,18.45,1.675
000425,13.35,1.673
301209,45.24,1.671
002463,28.75,1.6695
600763,29.87,1.668
300350,103.91,1.6664999999999999
688607,81.08,1.6649999999999998
002868,-12.85,1.6634999999999998
688819,13.55,1.6614999999999998
301061,23.48,1.6595
002607,102.33,1.6575
000100,45.89,1.6555
688657,61.9,1.6529999999999998
000528,12.95,1.65
300305,-9.71,1.6469999999999998
002049,46.18,1.6445
300440,68.8,1.6424999999999996
601949,34.49,1.64
688793,139.99,1.6375
688576,36.11,1.6350000000000002
603496,87.44,1.6324999999999998
688137,-96.94,1.6300000000000001
688052,-44.75,1.6275
